ListSize,countSort_Ops,countSort_Time,heapSort_Ops,heapSort_Time,mapSort_Ops,mapSort_Time
75793,303133,0.000240,2830998,0.013374,15461773,0.013961
73360,293428,0.000280,2731612,0.012842,14965441,0.013626
87603,350382,0.000262,3318303,0.015559,17871013,0.016563
85298,341156,0.000284,3223826,0.015391,17400793,0.017379
66094,264355,0.000233,2436655,0.011617,13483177,0.012059
75273,301071,0.000262,2810689,0.012860,15355693,0.013599
93593,374336,0.000334,3568657,0.016419,19092973,0.019767
43168,172660,0.000226,1525054,0.007645,8806273,0.007691
47755,190999,0.000196,1704745,0.007829,9742021,0.008746
31322,125282,0.000166,1070110,0.005080,6389689,0.005076
56891,227534,0.000202,2066060,0.009194,11605765,0.011038
3422,13685,0.000037,89465,0.000486,698089,0.000549
